🚀	rocket emoji	rocket ship, space shuttle	1f680
🚁	helicopter emoji	u+1f681	1f681
🚂	steam locomotive emoji	railway locomotive, steam train	1f682
🚃	railway car emoji	railcar, railroad car, railway carriage, railway wagon	1f683
🚄	high-speed train emoji	u+1f684	1f684
🚅	high-speed train with bullet nose emoji	bullet train, shinkansen	1f685
🚆	train emoji	intercity train, diesel train, electric train, passenger train, regular train	1f686
🚇	metro emoji	subway, underground train, tube, underground	1f687
🚈	light rail emoji	u+1f688	1f688
🚉	station emoji	train, subway station, train platform, train station	1f689
🚊	tram emoji	u+1f68a	1f68a
🚋	tram car emoji	u+1f68b	1f68b
🚌	bus emoji	school bus	1f68c
🚍	oncoming bus emoji	front of bus	1f68d
🚎	trolleybus emoji	trolley bus	1f68e
🚏	bus stop emoji	u+1f68f	1f68f
🚐	minibus emoji	minivan, people-mover	1f690
🚑	ambulance emoji	u+1f691	1f691
🚒	fire engine emoji	fire department, fire truck	1f692
🚓	police car emoji	cop car, side of police car	1f693
🚔	oncoming police car emoji	u+1f694	1f694
🚕	taxi emoji	new york taxi, side of taxi, taxicab	1f695
🚖	oncoming taxi emoji	front of taxi, taxicab	1f696
🚗	automobile emoji	car, red car, side of car	1f697
🚘	oncoming automobile emoji	front of car	1f698
🚙	recreational vehicle emoji	campervan, motorhome, rv	1f699
🚚	delivery truck emoji	u+1f69a	1f69a
🚛	articulated lorry emoji	green truck, truck	1f69b
🚜	tractor emoji	farm, farming	1f69c
🚝	monorail emoji	u+1f69d	1f69d
🚞	mountain railway emoji	funicular, train and mountain	1f69e
🚟	suspension railway emoji	u+1f69f	1f69f
🚠	mountain cableway emoji	u+1f6a0	1f6a0
🚡	aerial tramway emoji	cable car, gondola, ropeway	1f6a1
🚢	ship emoji	cruise line vacation, cruise, cruise ship	1f6a2
🚣	rowboat emoji	boat with paddles, rowing	1f6a3
🚤	speedboat emoji	motorboat, powerboat	1f6a4
🚥	horizontal traffic light emoji	traffic light	1f6a5
🚦	vertical traffic light emoji	traffic light	1f6a6
🚧	construction sign emoji	black and yellow striped sign, roadwork, roadwork sign	1f6a7
🚨	police cars revolving light emoji	rotating beacon, flashing light, police siren, siren	1f6a8
🚩	triangular flag on post emoji	location information, flag on pole, red flag	1f6a9
🚪	door emoji	exit, doorway, front door	1f6aa
🚫	no entry sign emoji	banned, circle backslash, no, red circle crossed, restricted	1f6ab
🚬	smoking symbol emoji	cigarette, smoke	1f6ac
🚭	no smoking symbol emoji	u+1f6ad	1f6ad
🚮	put litter in its place symbol emoji	person with trash, put litter in trash	1f6ae
🚯	do not litter symbol emoji	u+1f6af	1f6af
🚰	potable water symbol emoji	thirst, thirsty, water tap	1f6b0
🚱	non-potable water symbol emoji	no drinking water, no water	1f6b1
🚲	bicycle emoji	bike, push bike	1f6b2
🚳	no bicycles emoji	no bikes sign	1f6b3
🚴	bicyclist emoji	u+1f6b4	1f6b4
🚵	mountain bicyclist emoji	mountain bike, person on bike	1f6b5
🚶	pedestrian emoji	walking, walker	1f6b6
🚷	no pedestrians emoji	no people, no walking	1f6b7
🚸	children crossing emoji	kids crossing, school crossing	1f6b8
🚹	mens symbol emoji	man symbol, men's restroom, male restroom, mens toilet	1f6b9
🚺	womens symbol emoji	woman symbol, women's restroom, female restroom	1f6ba
🚻	restroom emoji	man and woman symbol with divider, unisex restroom, bathroom sign, toilet sign	1f6bb
🚼	baby symbol emoji	baby on board, baby changing station, baby change station, baby change symbol, nursery	1f6bc
🚽	toilet emoji	bathroom, loo, restroom	1f6bd
🚾	water closet emoji	toilet wc, wc	1f6be
🚿	shower emoji	shower head	1f6bf
🛀	bath emoji	bathing, hot bath	1f6c0
🛁	bathtub emoji	bubble bath	1f6c1
🛂	passport control emoji	border control	1f6c2
🛃	customs emoji	u+1f6c3	1f6c3
🛄	baggage claim emoji	u+1f6c4	1f6c4
🛅	left luggage emoji	locked suitcase	1f6c5
🛆	triangle with rounded corners 	caution	1f6c6
🛇	prohibited sign 	u+1f6c7	1f6c7
🛈	circled information source 	information	1f6c8
🛉	boys symbol 	u+1f6c9	1f6c9
🛊	girls symbol 	u+1f6ca	1f6ca
🛋	couch and lamp emoji	furniture, lifestyles	1f6cb
🛌	sleeping accommodation emoji	hotel, guestrooms	1f6cc
🛍	shopping bags emoji	shopping	1f6cd
🛎	bellhop bell emoji	reception, services	1f6ce
🛏	bed emoji	u+1f6cf	1f6cf
🛐	place of worship emoji	religious building	1f6d0
🛑	octagonal sign emoji	stop sign	1f6d1
🛒	shopping trolley emoji	shopping cart	1f6d2
🛓	stupa 	u+1f6d3	1f6d3
🛔	pagoda 	u+1f6d4	1f6d4
🛕	hindu temple emoji	u+1f6d5	1f6d5
🛖	hut emoji	u+1f6d6	1f6d6
🛗	elevator emoji	u+1f6d7	1f6d7
🛘	defined in unicode	u+1f6d8	1f6d8
🛙	defined in unicode	u+1f6d9	1f6d9
🛚	defined in unicode	u+1f6da	1f6da
🛛	defined in unicode	u+1f6db	1f6db
🛜	defined in unicode	u+1f6dc	1f6dc
🛝	defined in unicode	u+1f6dd	1f6dd
🛞	defined in unicode	u+1f6de	1f6de
🛟	defined in unicode	u+1f6df	1f6df
🛠	hammer and wrench emoji	tools, repair facility	1f6e0
🛡	shield emoji	us road interstate highway	1f6e1
🛢	oil drum emoji	commodities	1f6e2
🛣	motorway emoji	u+1f6e3	1f6e3
🛤	railway track emoji	railroad	1f6e4
🛥	motor boat emoji	boat	1f6e5
🛦	up-pointing military airplane 	military airport	1f6e6
🛧	up-pointing airplane 	commercial airport	1f6e7
🛨	up-pointing small airplane 	airfield	1f6e8
🛩	small airplane emoji	u+1f6e9	1f6e9
🛪	northeast-pointing airplane 	u+1f6ea	1f6ea
🛫	airplane departure emoji	departures, aeroplane taking off, plane taking off	1f6eb
🛬	airplane arriving emoji	arrivals, aeroplane landing, plane landing	1f6ec
🛭	defined in unicode	u+1f6ed	1f6ed
🛮	defined in unicode	u+1f6ee	1f6ee
🛯	defined in unicode	u+1f6ef	1f6ef
🛰	satellite emoji	u+1f6f0	1f6f0
🛱	oncoming fire engine 	fire	1f6f1
🛲	diesel locomotive 	train	1f6f2
🛳	passenger ship emoji	cruise line vacation	1f6f3
🛴	scooter emoji	u+1f6f4	1f6f4
🛵	motor scooter emoji	motor bike, motor cycle, vespa	1f6f5
🛶	canoe emoji	u+1f6f6	1f6f6
🛷	sled emoji	sledge, toboggan	1f6f7
